Trial Number,Value,MaxIterations,TabuSize,numDesireSolution,ErrorTolerance
0,89200578.22654341,400,24,15,2.6337324693358025e-05
1,89168735.8341011,482,17,13,2.683649546528118e-05
2,89246998.90372868,225,34,54,1.0740833423640031e-05
3,89238037.99443819,249,25,49,0.000531488392028128
4,89254221.21259469,242,28,91,0.09231517444886247
5,89193005.9955982,299,11,76,0.015939655365729867
